control_id,control_name,relationship,technique_id,technique_name,tactic_id,tactic_name
AC-1,Policy and Procedures,mitigates,T1556.006,Multi-Factor Authentication,TA0006,Credential Access
AC-1,Policy and Procedures,mitigates,T1556.007,Hybrid Identity,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1020.001,Traffic Duplication,TA0010,Exfiltration
SI-12,Information Management and Retention,mitigates,T1070,Indicator Removal,TA0005,Defense Evasion
SI-12,Information Management and Retention,mitigates,T1070.001,Clear Windows Event Logs,TA0005,Defense Evasion
SI-12,Information Management and Retention,mitigates,T1550.001,Application Access Token,TA0005,Defense Evasion
SI-12,Information Management and Retention,mitigates,T1558,Steal or Forge Kerberos Tickets,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1558.003,Kerberoasting,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1565,Data Manipulation,TA0040,Impact
SI-12,Information Management and Retention,mitigates,T1565.001,Stored Data Manipulation,TA0040,Impact
SI-12,Information Management and Retention,mitigates,T1565.002,Transmitted Data Manipulation,TA0040,Impact
SI-12,Information Management and Retention,mitigates,T1602.002,Network Device Configuration Dump,TA0009,Collection
SI-12,Information Management and Retention,mitigates,T1003,OS Credential Dumping,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1070.002,Clear Linux or Mac System Logs,TA0005,Defense Evasion
SI-12,Information Management and Retention,mitigates,T1114,Email Collection,TA0009,Collection
SI-12,Information Management and Retention,mitigates,T1114.001,Local Email Collection,TA0009,Collection
SI-12,Information Management and Retention,mitigates,T1114.002,Remote Email Collection,TA0009,Collection
SI-12,Information Management and Retention,mitigates,T1114.003,Email Forwarding Rule,TA0009,Collection
SI-12,Information Management and Retention,mitigates,T1548,Abuse Elevation Control Mechanism,TA0004,Privilege Escalation
SI-12,Information Management and Retention,mitigates,T1548.004,Elevated Execution with Prompt,TA0004,Privilege Escalation
SI-12,Information Management and Retention,mitigates,T1552,Unsecured Credentials,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1552.004,Private Keys,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1557.002,ARP Cache Poisoning,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1558.002,Silver Ticket,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1558.004,AS-REP Roasting,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1602,Data from Configuration Repository,TA0009,Collection
SI-12,Information Management and Retention,mitigates,T1602.001,SNMP (MIB Dump),TA0009,Collection
SI-12,Information Management and Retention,mitigates,T1003.003,NTDS,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1040,Network Sniffing,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1119,Automated Collection,TA0009,Collection
SI-12,Information Management and Retention,mitigates,T1530,Data from Cloud Storage,TA0009,Collection
SI-12,Information Management and Retention,mitigates,T1557,Adversary-in-the-Middle,TA0006,Credential Access
SI-12,Information Management and Retention,mitigates,T1070.008,Clear Mailbox Data,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1021.001,Remote Desktop Protocol,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1047,Windows Management Instrumentation,TA0002,Execution
AC-2,Account Management,mitigates,T1053,Scheduled Task/Job,TA0002,Execution
AC-2,Account Management,mitigates,T1053.002,At,TA0002,Execution
AC-2,Account Management,mitigates,T1053.003,Cron,TA0002,Execution
AC-2,Account Management,mitigates,T1053.005,Scheduled Task,TA0002,Execution
AC-2,Account Management,mitigates,T1059,Command and Scripting Interpreter,TA0002,Execution
AC-2,Account Management,mitigates,T1059.001,PowerShell,TA0002,Execution
AC-2,Account Management,mitigates,T1059.002,AppleScript,TA0002,Execution
AC-2,Account Management,mitigates,T1059.005,Visual Basic,TA0002,Execution
AC-2,Account Management,mitigates,T1059.008,Network Device CLI,TA0002,Execution
AC-2,Account Management,mitigates,T1070,Indicator Removal,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1070.001,Clear Windows Event Logs,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1070.003,Clear Command History,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1078.002,Domain Accounts,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1078.004,Cloud Accounts,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1098,Account Manipulation,TA0003,Persistence
AC-2,Account Management,mitigates,T1098.001,Additional Cloud Credentials,TA0003,Persistence
AC-2,Account Management,mitigates,T1098.002,Additional Email Delegate Permissions,TA0003,Persistence
AC-2,Account Management,mitigates,T1098.003,Additional Cloud Roles,TA0003,Persistence
AC-2,Account Management,mitigates,T1190,Exploit Public-Facing Application,TA0001,Initial Access
AC-2,Account Management,mitigates,T1197,BITS Jobs,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1210,Exploitation of Remote Services,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1213.003,Code Repositories,TA0009,Collection
AC-2,Account Management,mitigates,T1218.007,Msiexec,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1222,File and Directory Permissions Modification,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1495,Firmware Corruption,TA0040,Impact
AC-2,Account Management,mitigates,T1505,Server Software Component,TA0003,Persistence
AC-2,Account Management,mitigates,T1505.003,Web Shell,TA0003,Persistence
AC-2,Account Management,mitigates,T1525,Implant Internal Image,TA0003,Persistence
AC-2,Account Management,mitigates,T1537,Transfer Data to Cloud Account,TA0010,Exfiltration
AC-2,Account Management,mitigates,T1543,Create or Modify System Process,TA0003,Persistence
AC-2,Account Management,mitigates,T1543.001,Launch Agent,TA0003,Persistence
AC-2,Account Management,mitigates,T1543.003,Windows Service,TA0003,Persistence
AC-2,Account Management,mitigates,T1546.003,Windows Management Instrumentation Event Subscription,TA0004,Privilege Escalation
AC-2,Account Management,mitigates,T1547.004,Winlogon Helper DLL,TA0003,Persistence
AC-2,Account Management,mitigates,T1547.006,Kernel Modules and Extensions,TA0003,Persistence
AC-2,Account Management,mitigates,T1547.009,Shortcut Modification,TA0003,Persistence
AC-2,Account Management,mitigates,T1548.002,Bypass User Account Control,TA0004,Privilege Escalation
AC-2,Account Management,mitigates,T1548.003,Sudo and Sudo Caching,TA0004,Privilege Escalation
AC-2,Account Management,mitigates,T1556.004,Network Device Authentication,TA0006,Credential Access
AC-2,Account Management,mitigates,T1558,Steal or Forge Kerberos Tickets,TA0006,Credential Access
AC-2,Account Management,mitigates,T1558.003,Kerberoasting,TA0006,Credential Access
AC-2,Account Management,mitigates,T1559,Inter-Process Communication,TA0002,Execution
AC-2,Account Management,mitigates,T1562,Impair Defenses,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1562.001,Disable or Modify Tools,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1562.006,Indicator Blocking,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1562.008,Disable or Modify Cloud Logs,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1567,Exfiltration Over Web Service,TA0010,Exfiltration
AC-2,Account Management,mitigates,T1574,Hijack Execution Flow,TA0003,Persistence
AC-2,Account Management,mitigates,T1574.007,Path Interception by PATH Environment Variable,TA0003,Persistence
AC-2,Account Management,mitigates,T1609,Container Administration Command,TA0002,Execution
AC-2,Account Management,mitigates,T1610,Deploy Container,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1003,OS Credential Dumping,TA0006,Credential Access
AC-2,Account Management,mitigates,T1003.004,LSA Secrets,TA0006,Credential Access
AC-2,Account Management,mitigates,T1003.005,Cached Domain Credentials,TA0006,Credential Access
AC-2,Account Management,mitigates,T1003.006,DCSync,TA0006,Credential Access
AC-2,Account Management,mitigates,T1003.007,Proc Filesystem,TA0006,Credential Access
AC-2,Account Management,mitigates,T1003.008,/etc/passwd and /etc/shadow,TA0006,Credential Access
AC-2,Account Management,mitigates,T1021,Remote Services,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1021.002,SMB/Windows Admin Shares,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1021.003,Distributed Component Object Model,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1021.004,SSH,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1021.005,VNC,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1021.006,Windows Remote Management,TA0008,Lateral Movement
AC-2,Account Management,mitigates,T1025,Data from Removable Media,TA0009,Collection
AC-2,Account Management,mitigates,T1036,Masquerading,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1036.003,Rename System Utilities,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1036.005,Match Legitimate Name or Location,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1041,Exfiltration Over C2 Channel,TA0010,Exfiltration
AC-2,Account Management,mitigates,T1048,Exfiltration Over Alternative Protocol,TA0010,Exfiltration
AC-2,Account Management,mitigates,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,TA0010,Exfiltration
AC-2,Account Management,mitigates,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,TA0010,Exfiltration
AC-2,Account Management,mitigates,T1052,Exfiltration Over Physical Medium,TA0010,Exfiltration
AC-2,Account Management,mitigates,T1052.001,Exfiltration over USB,TA0010,Exfiltration
AC-2,Account Management,mitigates,T1053.006,Systemd Timers,TA0002,Execution
AC-2,Account Management,mitigates,T1053.007,Container Orchestration Job,TA0002,Execution
AC-2,Account Management,mitigates,T1055.008,Ptrace System Calls,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1056.003,Web Portal Capture,TA0009,Collection
AC-2,Account Management,mitigates,T1059.003,Windows Command Shell,TA0002,Execution
AC-2,Account Management,mitigates,T1059.004,Unix Shell,TA0002,Execution
AC-2,Account Management,mitigates,T1059.006,Python,TA0002,Execution
AC-2,Account Management,mitigates,T1059.007,JavaScript,TA0002,Execution
AC-2,Account Management,mitigates,T1070.002,Clear Linux or Mac System Logs,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1072,Software Deployment Tools,TA0002,Execution
AC-2,Account Management,mitigates,T1078.001,Default Accounts,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1078.003,Local Accounts,TA0005,Defense Evasion
AC-2,Account Management,mitigates,T1087.004,Cloud Account,TA0007,Discovery
