source_dataset,source_object_id,source_object_external_id,source_object_name,source_object_type,relationship,target_object_id,target_object_external_id,target_object_name,target_object_type,target_dataset
nist-sp-800-53-r5,course-of-action--e8e37cf4-bb6a-40e7-b54b-68ca2ebe3516,AC-1,Policy and Procedures,course-of-action,related-to,course-of-action--a9a4ec70-7f1c-4f3b-90fc-453e3eac9ae5,IA-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--e8e37cf4-bb6a-40e7-b54b-68ca2ebe3516,AC-1,Policy and Procedures,course-of-action,related-to,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--e8e37cf4-bb6a-40e7-b54b-68ca2ebe3516,AC-1,Policy and Procedures,course-of-action,related-to,course-of-action--f798b00c-18c5-431a-a43e-31a6ee321138,PM-24,Data Integrity Board,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--e8e37cf4-bb6a-40e7-b54b-68ca2ebe3516,AC-1,Policy and Procedures,course-of-action,related-to,course-of-action--85fd04ee-0bf6-4435-84eb-8237015c499d,PS-8,Personnel Sanctions,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--e8e37cf4-bb6a-40e7-b54b-68ca2ebe3516,AC-1,Policy and Procedures,course-of-action,related-to,course-of-action--83703b26-2eaa-401a-8f67-a962c8de9835,SI-12,Information Management and Retention,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--e8e37cf4-bb6a-40e7-b54b-68ca2ebe3516,AC-1,Policy and Procedures,course-of-action,mitigates,attack-pattern--b4409cd8-0da9-46e1-a401-a241afd4d1cc,T1556.006,Multi-Factor Authentication,attack-pattern,mitre-attack-enterprise
nist-sp-800-53-r5,course-of-action--e8e37cf4-bb6a-40e7-b54b-68ca2ebe3516,AC-1,Policy and Procedures,course-of-action,mitigates,attack-pattern--54ca26f3-c172-4231-93e5-ccebcac2161f,T1556.007,Hybrid Identity,attack-pattern,mitre-attack-enterprise
nist-sp-800-53-r5,course-of-action--a9a4ec70-7f1c-4f3b-90fc-453e3eac9ae5,IA-1,Policy and Procedures,course-of-action,related-to,course-of-action--e8e37cf4-bb6a-40e7-b54b-68ca2ebe3516,AC-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--a9a4ec70-7f1c-4f3b-90fc-453e3eac9ae5,IA-1,Policy and Procedures,course-of-action,related-to,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--a9a4ec70-7f1c-4f3b-90fc-453e3eac9ae5,IA-1,Policy and Procedures,course-of-action,related-to,course-of-action--85fd04ee-0bf6-4435-84eb-8237015c499d,PS-8,Personnel Sanctions,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--a9a4ec70-7f1c-4f3b-90fc-453e3eac9ae5,IA-1,Policy and Procedures,course-of-action,related-to,course-of-action--83703b26-2eaa-401a-8f67-a962c8de9835,SI-12,Information Management and Retention,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--e8e37cf4-bb6a-40e7-b54b-68ca2ebe3516,AC-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--8c766062-c3af-4c1f-b487-03bcbadbebec,AU-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--70f548f2-13d0-4f14-b139-d6d068c78787,AT-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--1591c503-47be-4b66-9bed-9ad5f943f709,CA-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--8a139494-d2c8-4c0a-9f1a-b2d5d7836e05,CA-2,Control Assessments,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--7f3a2871-240a-43ff-bc4f-7e517c0cafc8,CA-5,Plan of Action and Milestones,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--90cb94bf-e9ba-4282-b06e-5cdcacbfd036,CA-6,Authorization,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--c664c247-cc54-4a72-9428-782afacc3cae,CA-7,Continuous Monitoring,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--b90d399c-013d-43bb-bf27-3ec6267dd77e,CM-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--d7c58c85-d382-45e1-be64-dc884c834261,CP-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--a9a4ec70-7f1c-4f3b-90fc-453e3eac9ae5,IA-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--bc35a358-7494-465e-b450-d686dc7f0605,IR-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--07e1b69f-7506-4d6c-a126-ea4c78282056,MA-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--eb153a50-88fc-43ba-a88f-7ab6f1d5a3c4,MP-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--1f023a42-69f3-45bb-9e5f-4b7a491eb12f,PE-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--f42ad66f-ba19-4a77-8b1a-16b0997c3524,PL-1,Policy and Procedures,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--9bbfa8c1-f72b-4b09-8a5f-b9941f31af58,PL-2,System Security and Privacy Plans,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--b5d675d9-c77c-4de8-99c2-20b5b630e11f,PM-2,Information Security Program Leadership Role,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--a531c5ad-298e-48d8-bcf1-04e2cc330558,PM-8,Critical Infrastructure Plan,course-of-action,nist-sp-800-53-r5
nist-sp-800-53-r5,course-of-action--0e79872e-6182-427c-94e5-c29920edc403,PM-9,Risk Management Strategy,course-of-action,related-to,course-of-action--151d7245-0c29-46d8-8c79-e06b0d28f258,PM-18,Privacy Program Plan,course-of-action,nist-sp-800-53-r5
