id,type,name,external_id
x-mitre-data-component--02d090b6-8157-48da-98a2-517f7edd49fc,x-mitre-data-component,Active Directory Credential Request,
x-mitre-data-component--05645013-2fed-4066-8bdc-626b2e201dd4,x-mitre-data-component,WMI Creation,
x-mitre-data-component--05d5b5b4-ef93-4807-b05f-33d8c5a35bc5,x-mitre-data-component,Group Modification,
x-mitre-data-component--071a09b1-8945-46fd-8bb7-6bcc89400963,x-mitre-data-component,Image Modification,
x-mitre-data-component--07688e40-a7fa-4436-937f-1216674341a0,x-mitre-data-component,Pod Enumeration,
x-mitre-data-component--0dcbbf4f-929c-489a-b66b-9b820d3f7f0e,x-mitre-data-component,Response Content,
x-mitre-data-component--0f72bf50-35b3-419d-ab95-70f9b6a818dd,x-mitre-data-component,Volume Metadata,
x-mitre-data-component--1067aa74-5796-4d9b-b4f1-a4c9eb6fd9da,x-mitre-data-component,Response Metadata,
x-mitre-data-component--1177a4c5-31c8-400c-8544-9071166afa0e,x-mitre-data-component,Windows Registry Key Deletion,
x-mitre-data-component--1361e324-b594-4c0e-a517-20cee32b8d7f,x-mitre-data-component,Instance Stop,
x-mitre-data-component--167b48f7-76e9-4fcb-9e8d-7121f7bf56c3,x-mitre-data-component,Malware Content,
x-mitre-data-component--16e07530-764b-4d83-bae0-cdbfc31bf21d,x-mitre-data-component,Snapshot Deletion,
x-mitre-data-component--181a9f8c-c780-4f1f-91a8-edb770e904ba,x-mitre-data-component,Network Connection Creation,
x-mitre-data-component--1887a270-576a-4049-84de-ef746b2572d6,x-mitre-data-component,Process Access,
x-mitre-data-component--18b236d8-7224-488f-9d2f-50076a0f653a,x-mitre-data-component,Active Directory Object Creation,
x-mitre-data-component--1dad5aa4-4bb5-45e4-9e42-55d40003cfa6,x-mitre-data-component,Certificate Registration,
x-mitre-data-component--235b7491-2d2b-4617-9a52-3c0783680f71,x-mitre-data-component,File Access,
x-mitre-data-component--23e4ee78-26f3-4fcf-ba43-ab953962f96c,x-mitre-data-component,Kernel Module Load,
x-mitre-data-component--2a80d95f-08c4-48e3-833e-151ef19d90f5,x-mitre-data-component,Instance Enumeration,
x-mitre-data-component--2b3bfe19-d59a-460d-93bb-2f546adc2d2c,x-mitre-data-component,File Creation,
x-mitre-data-component--2e521444-7295-4dec-96c1-7595b2df7811,x-mitre-data-component,Active DNS,
x-mitre-data-component--3551476e-14f5-4e48-a518-e82135329e03,x-mitre-data-component,Driver Load,
x-mitre-data-component--3772e279-27d6-477a-9fe3-c6beb363594c,x-mitre-data-component,Network Traffic Content,
x-mitre-data-component--39b9db72-8b48-4595-a18d-db5bbba3091b,x-mitre-data-component,Logon Session Metadata,
x-mitre-data-component--3acecdde-c327-4498-9bb8-33a2e63c6c57,x-mitre-data-component,Volume Deletion,
x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,x-mitre-data-component,Process Creation,
x-mitre-data-component--3d6e6b3b-4aa8-40e1-8c47-91db0f313d9f,x-mitre-data-component,Drive Creation,
x-mitre-data-component--3da222e6-53f3-451c-a239-0b405c009432,x-mitre-data-component,Snapshot Creation,
x-mitre-data-component--45977f14-1bcc-4ec4-ac14-a30fd3a11f44,x-mitre-data-component,Cloud Storage Modification,
x-mitre-data-component--45d0ff14-b9c4-41f5-8603-156657c20b75,x-mitre-data-component,Instance Modification,
x-mitre-data-component--45fd904d-6eb0-4b50-8478-a961f09f898b,x-mitre-data-component,Instance Metadata,
