id,type,name,external_id
course-of-action--00d7d21b-69d6-4797-88a2-c86f3fc97651,course-of-action,Password Filter DLL Mitigation,T1174
course-of-action--02f0f92a-0a51-4c94-9bda-6437b9a93f22,course-of-action,Space after Filename Mitigation,T1151
course-of-action--03c0c586-50ed-45a7-95f4-f496d7eb5330,course-of-action,HISTCONTROL Mitigation,T1148
course-of-action--0472af99-f25c-4abe-9fce-010fa3450e72,course-of-action,Credentials in Files Mitigation,T1081
course-of-action--06160d81-62be-46e5-aa37-4b9c645ffa31,course-of-action,Exploitation for Credential Access Mitigation,T1212
course-of-action--0640214c-95af-4c04-a574-2a1ba6dda00b,course-of-action,Query Registry Mitigation,T1012
course-of-action--06824aa2-94a5-474c-97f6-57c2e983d885,course-of-action,Login Item Mitigation,T1162
course-of-action--073cc04d-ac46-4f5a-85d7-83a91ecd6a19,course-of-action,Setuid and Setgid Mitigation,T1166
course-of-action--08e02f67-ea09-4f77-a70b-414963c29fc2,course-of-action,Compiled HTML File Mitigation,T1223
course-of-action--0b3ee33e-430b-476f-9525-72d120c90f8d,course-of-action,Data Destruction Mitigation,T1488
course-of-action--0bc3ce00-83bc-4a92-a042-79ffbc6af259,course-of-action,Windows Management Instrumentation Event Subscription Mitigation,T1084
course-of-action--1022138b-497c-40e6-b53a-13351cbd4090,course-of-action,File System Permissions Weakness Mitigation,T1044
course-of-action--10571bf2-8073-4edf-a71c-23bad225532e,course-of-action,AppInit DLLs Mitigation,T1103
course-of-action--121b2863-5b97-4538-acb3-f8aae070ec13,course-of-action,Launch Agent Mitigation,T1159
course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,course-of-action,Network Intrusion Prevention,M1031
course-of-action--12c13879-b7bd-4bc5-8def-aacec386d432,course-of-action,Regsvr32 Mitigation,T1117
course-of-action--12cba7de-0a22-4a56-b51e-c514c67c3b43,course-of-action,Hidden Users Mitigation,T1147
course-of-action--13cad982-35e3-4340-9095-7124b653df4b,course-of-action,Data from Information Repositories Mitigation,T1213
course-of-action--14b63e6b-7531-4476-9e60-02cc5db48b62,course-of-action,Exploitation of Remote Services Mitigation,T1210
course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,course-of-action,Vulnerability Scanning,M1016
course-of-action--159b4ee4-8fa1-44a5-b095-2973f3c7e25e,course-of-action,Domain Trust Discovery Mitigation,T1482
course-of-action--160af6af-e733-4b6a-a04a-71c620ac0930,course-of-action,Third-party Software Mitigation,T1072
course-of-action--16a8ac85-a06f-460f-ad22-910167bd7332,course-of-action,Binary Padding Mitigation,T1009
course-of-action--16dd03c6-0dfb-4d77-89cd-9ff3ee6e533d,course-of-action,Audio Capture Mitigation,T1123
course-of-action--16f144e4-c780-4ed2-98b4-55d14e2dfa44,course-of-action,System Owner/User Discovery Mitigation,T1033
course-of-action--1881da33-fdf2-4eea-afd0-e04caf9c000f,course-of-action,Peripheral Device Discovery Mitigation,T1120
course-of-action--19edfa02-1a5f-47e4-ad82-3288f57f64cf,course-of-action,Clipboard Data Mitigation,T1115
course-of-action--1a7f5bd3-f6ee-4bd7-b949-2f3632ad6158,course-of-action,Gatekeeper Bypass Mitigation,T1144
course-of-action--1c0711c8-2a73-48a1-893d-ff88bcd23824,course-of-action,Scheduled Transfer Mitigation,T1029
course-of-action--1c0b39f9-a0c5-42b2-abd8-dc8f1eb74e67,course-of-action,Browser Bookmark Discovery Mitigation,T1217
course-of-action--1c6bc7f3-d517-4971-aed4-8f939090846b,course-of-action,Port Monitors Mitigation,T1013
course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,course-of-action,Limit Access to Resource Over Network,M1035
course-of-action--1e4ef2c7-ee96-4484-9baa-3b5777561301,course-of-action,AppleScript Mitigation,T1155
course-of-action--1e614ba5-2fc5-4464-b512-2ceafb14d76d,course-of-action,Indirect Command Execution Mitigation,T1202
course-of-action--1f34230d-b6ae-4dc7-8599-78c18820bd21,course-of-action,Network Share Discovery Mitigation,T1135
course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,course-of-action,Remote Data Storage,M1029
course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,course-of-action,Filter Network Traffic,M1037
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,course-of-action,Restrict Web-Based Content,M1021
course-of-action--23061b40-a7b6-454f-8950-95d5ff80331c,course-of-action,Install Root Certificate Mitigation,T1130
course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547,course-of-action,Limit Software Installation,M1033
course-of-action--23bff3ce-021c-4e7a-9aee-60fd40bc7c6c,course-of-action,Sudo Mitigation,T1169
course-of-action--24478001-2eb3-4b06-a02e-96b3d61d27ec,course-of-action,Multilayer Encryption Mitigation,T1079
course-of-action--245075bc-f992-4d89-af8c-834c53d403f4,course-of-action,Transmitted Data Manipulation Mitigation,T1493
course-of-action--2497ac92-e751-4391-82c6-1b86e34d0294,course-of-action,Automated Exfiltration Mitigation,T1020
course-of-action--25d5e1d8-c6fb-4735-bc57-115a21222f4b,course-of-action,Application Window Discovery Mitigation,T1010
course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,course-of-action,Application Developer Guidance,M1013
course-of-action--25e53928-6f33-49b7-baee-8180578286f6,course-of-action,System Firmware Mitigation,T1019
course-of-action--28adf6fd-ab6c-4553-9aa7-cef18a191f33,course-of-action,Data Compressed Mitigation,T1002
course-of-action--2995bc22-2851-4345-ad19-4e7e295be264,course-of-action,Limit Hardware Installation,M1034
course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,course-of-action,User Training,M1017
course-of-action--2a8de25c-f743-4348-b101-3ee33ab5871b,course-of-action,Data Encrypted Mitigation,T1022
course-of-action--2ace01f8-67c8-43eb-b7b1-a7b9f1fe67e1,course-of-action,File and Directory Discovery Mitigation,T1083
course-of-action--2c2ad92a-d710-41ab-a996-1db143bb4808,course-of-action,User Account Control,M1052
course-of-action--2c3ce852-06a2-40ee-8fe6-086f6402a739,course-of-action,Hypervisor Mitigation,T1062
course-of-action--2d704e56-e689-4011-b989-bf4e025a8727,course-of-action,Plist Modification Mitigation,T1150
course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,course-of-action,Operating System Configuration,M1028
course-of-action--308855d1-078b-47ad-8d2a-8f9b2713ffb5,course-of-action,Windows Admin Shares Mitigation,T1077
course-of-action--313c8b20-4d49-40c1-9ac0-4c573aca28f3,course-of-action,Winlogon Helper DLL Mitigation,T1004
course-of-action--337172b1-b003-4034-8a3f-1d89a71da628,course-of-action,Runtime Data Manipulation Mitigation,T1494
course-of-action--33f76731-b840-446f-bee0-53687dad24d9,course-of-action,Image File Execution Options Injection Mitigation,T1183
course-of-action--34d6a2ef-370e-4d21-a34b-6208b7c78f31,course-of-action,Process Doppelgänging Mitigation,T1186
