id,type,name,external_id
x-mitre-collection--1f5f1533-f617-4ca8-9ab4-6a02367fa019,x-mitre-collection,Enterprise ATT&CK,
attack-pattern--0042a9f5-f053-4769-b3ef-9ad018dfa298,attack-pattern,Extra Window Memory Injection,T1055.011
attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,attack-pattern,Scheduled Task,T1053.005
attack-pattern--005cc321-08ce-4d17-b1ea-cb5275926520,attack-pattern,Socket Filters,T1205.002
attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,attack-pattern,Indicator Removal from Tools,T1066
attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,attack-pattern,Archive via Utility,T1560.001
attack-pattern--01327cde-66c4-4123-bf34-5f258d59457b,attack-pattern,VNC,T1021.005
attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,attack-pattern,Windows Management Instrumentation,T1047
attack-pattern--01df3350-ce05-4bdf-bdf8-0a919a66d4a8,attack-pattern,Malicious Shell Modification,T1156
attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,attack-pattern,Screen Capture,T1113
attack-pattern--02c5abff-30bf-4703-ab92-1f6072fae939,attack-pattern,Fileless Storage,T1027.011
attack-pattern--02fefddc-fb1b-423f-a76b-7552dd211d4d,attack-pattern,Bootkit,T1067
attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,attack-pattern,Boot or Logon Initialization Scripts,T1037
attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d,attack-pattern,Adversary-in-the-Middle,T1557
attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,attack-pattern,System Owner/User Discovery,T1033
attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2,attack-pattern,Acquire Infrastructure,T1583
attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,attack-pattern,Rundll32,T1218.011
attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336,attack-pattern,Container and Resource Discovery,T1613
attack-pattern--04a5a8ab-3bc8-4c83-95c9-55274a89786d,attack-pattern,Serverless,T1583.007
attack-pattern--04ee0cb7-dac3-4c6c-9387-4c6aa096f4cf,attack-pattern,Hidden Window,T1143
attack-pattern--04ef4356-8926-45e2-9441-634b6f3dcecb,attack-pattern,LC_LOAD_DYLIB Addition,T1161
attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,attack-pattern,Standard Encoding,T1132.001
attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1,attack-pattern,Embedded Payloads,T1027.009
attack-pattern--06780952-177c-4247-b978-79c357fb311f,attack-pattern,Plist Modification,T1150
attack-pattern--06c00069-771a-4d57-8ef5-d3718c1a8771,attack-pattern,Pluggable Authentication Modules,T1556.003
attack-pattern--0708ae90-d0eb-4938-9a76-d0fc94f6eec1,attack-pattern,Revert Cloud Instance,T1578.004
attack-pattern--086952c4-5b90-4185-b573-02bad8e11953,attack-pattern,HISTCONTROL,T1148
attack-pattern--09312b1a-c3c6-4b45-9844-3ccc78e5d82f,attack-pattern,Gather Victim Host Information,T1592
attack-pattern--0979abf9-4e26-43ec-9b6e-54efc4e70fca,attack-pattern,Digital Certificates,T1596.003
attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,attack-pattern,Keylogging,T1056.001
attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345,attack-pattern,Linux and Mac File and Directory Permissions Modification,T1222.002
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,attack-pattern,Password Guessing,T1110.001
attack-pattern--09cd431f-eaf4-4d2a-acaf-2a7acfe7ed58,attack-pattern,PubPrn,T1216.001
attack-pattern--0a241b6c-7bb2-48f9-98f7-128145b4d27f,attack-pattern,Purchase Technical Data,T1597.002
attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,attack-pattern,OS Credential Dumping,T1003
attack-pattern--0a5231ec-41af-4a35-83d0-6bdf11f28c65,attack-pattern,Shared Modules,T1129
attack-pattern--0ad7bc5c-235a-4048-944b-3b286676cb74,attack-pattern,Data from Configuration Repository,T1602
attack-pattern--0af0ca99-357d-4ba1-805f-674fdfb7bef9,attack-pattern,Disk Structure Wipe,T1561.002
attack-pattern--0bda01d5-4c1d-4062-8ee2-6872334383c3,attack-pattern,Direct Network Flood,T1498.001
attack-pattern--0bf78622-e8d2-41da-a857-731472d61a92,attack-pattern,Stored Data Manipulation,T1492
attack-pattern--0c2d00da-7742-49e7-9928-4514e5075d32,attack-pattern,Path Interception by PATH Environment Variable,T1574.007
attack-pattern--0c4b4fda-9062-47da-98b9-ceae2dcf052a,attack-pattern,Sharepoint,T1213.002
attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5,attack-pattern,Direct Volume Access,T1006
attack-pattern--0ca7beef-9bbc-4e35-97cf-437384ddce6a,attack-pattern,File System Permissions Weakness,T1044
attack-pattern--0cf55441-b176-4332-89e7-2c4c7799d0ff,attack-pattern,Email Hiding Rules,T1564.008
attack-pattern--0cfe31a7-81fc-472c-bc45-e2808d1066a3,attack-pattern,External Defacement,T1491.002
attack-pattern--0dbf5f1b-a560-4d51-ac1b-d70caab3e1f0,attack-pattern,LLMNR/NBT-NS Poisoning and Relay,T1171
attack-pattern--0dda99f0-4701-48ca-9774-8504922e92d3,attack-pattern,IP Addresses,T1590.005
attack-pattern--0df05477-c572-4ed6-88a9-47c581f548f7,attack-pattern,OS Exhaustion Flood,T1499.001
attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b,attack-pattern,Rootkit,T1014
