source_object_id,source_object_external_id,source_object_name,source_object_type,relationship,target_object_id,target_object_external_id,target_object_name,target_object_type
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,S0569,System Network Configuration Discovery,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4,S0569,Modify Registry,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--1b7ba276-eedc-4951-a762-0ceea2c030ec,S0569,Data from Removable Media,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,S0569,Keylogging,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,S0569,System Owner/User Discovery,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--24bfaeba-cb0d-4525-b3dc-507c77ecec41,S0569,Symmetric Cryptography,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,S0569,Ingress Tool Transfer,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,S0569,Web Protocols,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670,S0569,Native API,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--30973a08-aed9-4edf-8604-9084ce1b5c4f,S0569,Clipboard Data,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,S0569,System Information Discovery,attack-pattern
malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,S0569,Explosive,malware,uses,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d,S0569,Hidden Files and Directories,attack-pattern
attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,T1016,System Network Configuration Discovery,attack-pattern,related-to,x-mitre-tactic--c17c5845-175e-4421-9713-829d0573dbc9,T1016,Discovery,x-mitre-tactic
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,M1021,Restrict Web-Based Content,course-of-action,mitigates,attack-pattern--43c9bc06-715b-42db-972f-52d25c09a20c,M1021,Content Injection,attack-pattern
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,M1021,Restrict Web-Based Content,course-of-action,mitigates,attack-pattern--be055942-6e63-49d7-9fa1-9cb7d8a8f3f4,M1021,Bidirectional Communication,attack-pattern
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,M1021,Restrict Web-Based Content,course-of-action,mitigates,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7,M1021,Spearphishing Link,attack-pattern
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,M1021,Restrict Web-Based Content,course-of-action,mitigates,attack-pattern--890c9858-598c-401d-a4d5-c67ebcdd703a,M1021,Steal Application Access Token,attack-pattern
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,M1021,Restrict Web-Based Content,course-of-action,mitigates,attack-pattern--a6937325-9321-4e2e-bb2b-3ed2d40b2a9d,M1021,Compiled HTML File,attack-pattern
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,M1021,Restrict Web-Based Content,course-of-action,mitigates,attack-pattern--7bd9c723-2f78-4309-82c5-47cad406572b,M1021,Dynamic Resolution,attack-pattern
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,M1021,Restrict Web-Based Content,course-of-action,mitigates,attack-pattern--f7827069-0bf2-4764-af4f-23fae0d181b7,M1021,Dead Drop Resolver,attack-pattern
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,M1021,Restrict Web-Based Content,course-of-action,mitigates,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,M1021,User Execution,attack-pattern
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,M1021,Restrict Web-Based Content,course-of-action,mitigates,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,M1021,Drive-by Compromise,attack-pattern
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,M1021,Restrict Web-Based Content,course-of-action,mitigates,attack-pattern--f6ad61ee-65f3-4bd0-a3f5-2f0accb36317,M1021,Spearphishing via Service,attack-pattern
