id,type,name,external_id
x-mitre-tactic--2558fd61-8c75-4730-94c4-11926db2a263,x-mitre-tactic,Credential Access,TA0006
x-mitre-tactic--4ca45d45-df4d-4613-8980-bac22d278fa5,x-mitre-tactic,Execution,TA0002
x-mitre-tactic--5569339b-94c2-49ee-afb3-2222936582c8,x-mitre-tactic,Impact,TA0040
x-mitre-tactic--5bc1d813-693e-4823-9961-abf9af4b0e92,x-mitre-tactic,Persistence,TA0003
x-mitre-tactic--5e29b093-294e-49e9-a803-dab3d73b77dd,x-mitre-tactic,Privilege Escalation,TA0004
x-mitre-tactic--7141578b-e50b-4dcc-bfa4-08a8dd689e9e,x-mitre-tactic,Lateral Movement,TA0008
x-mitre-tactic--78b23412-0651-46d7-a540-170a1ce8bd5a,x-mitre-tactic,Defense Evasion,TA0005
x-mitre-tactic--9a4e74ab-5008-408c-84bf-a10dfbc53462,x-mitre-tactic,Exfiltration,TA0010
x-mitre-tactic--c17c5845-175e-4421-9713-829d0573dbc9,x-mitre-tactic,Discovery,TA0007
x-mitre-tactic--d108ce10-2419-4cf9-a774-46161d6c6cfe,x-mitre-tactic,Collection,TA0009
x-mitre-tactic--d679bca2-e57d-4935-8650-8031c87a4400,x-mitre-tactic,Resource Development,TA0042
x-mitre-tactic--daa4cbb1-b4f4-4723-a824-7f1efd6e0592,x-mitre-tactic,Reconnaissance,TA0043
x-mitre-tactic--f72804c5-f15a-449e-a5da-2eecd181f813,x-mitre-tactic,Command and Control,TA0011
x-mitre-tactic--ffd5bcee-6e16-4dd2-8eca-7b3beedf33ca,x-mitre-tactic,Initial Access,TA0001
