id,type,name,external_id
tool--03342581-f790-4f03-ba41-e82e67392e23,tool,Net,S0039
tool--03c6e0ea-96d3-4b23-9afb-05055663cf4b,tool,RemoteUtilities,S0592
tool--066b057c-944e-4cfc-b654-e3dfba04b926,tool,BloodHound,S0521
tool--0a68f1f1-da74-4d28-8d9a-696c082706cc,tool,certutil,S0160
tool--0c8465c0-d0b4-4670-992e-4eee8d7ff952,tool,at,S0110
tool--102c3898-85e0-43ee-ae28-62a0a3ed9507,tool,UACMe,S0116
tool--115f88dd-0618-4389-83cb-98d33ae81848,tool,ShimRatReporter,S0445
tool--11f8d7eb-1927-4806-9267-3a11d4d4d6be,tool,Sliver,S0633
tool--1244e058-fa10-48cb-b484-0bcf671107ae,tool,SILENTTRINITY,S0692
tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d,tool,PowerSploit,S0194
tool--1b3b8f96-43b1-4460-8e02-1f53d7802fb9,tool,Pacu,S1091
tool--242f3da3-4425-4d11-8f5c-b842886da966,tool,Windows Credential Editor,S0005
tool--26c87906-d750-42c5-946c-d4162c73fc7b,tool,Impacket,S0357
tool--294e2560-bd48-44b2-9da2-833b5588ad11,tool,ipconfig,S0100
tool--2c5281dd-b5fd-4531-8aea-c1bf8a0f8756,tool,AADInternals,S0677
tool--2e45723a-31da-4a7e-aaa6-e01998a6788f,tool,Tasklist,S0057
tool--2f7f03bb-f367-4a5a-ad9b-310a12a48906,tool,ngrok,S0508
tool--2fab555f-7664-4623-b4e0-1675ae38190b,tool,Lslsass,S0121
tool--30489451-5886-4c46-90c9-0dff9adc5252,tool,Arp,S0099
tool--33b9e38f-103c-412d-bdcf-904a91fff1e4,tool,spwebmember,S0227
tool--3433a9e8-1c47-4320-b9bf-ed449061d1c3,tool,Empire,S0363
tool--362dc67f-4e85-4562-9dac-1b6b7f3ec4b5,tool,ifconfig,S0101
tool--38952eac-cb1b-4a71-bad2-ee8223a1c8fe,tool,dsquery,S0105
tool--3a53b207-aba2-4a2b-9cdb-273d633669e7,tool,PcShare,S1050
tool--3ffbdc1f-d2bf-41ab-91a2-c7b857e98079,tool,RawDisk,S0364
tool--4664b683-f578-434f-919b-1c1aad2a1111,tool,netstat,S0104
tool--4b57c098-f043-4da2-83ef-7588a6d426bc,tool,PoshC2,S0378
tool--4f45dfeb-fe51-4df0-8db3-edf7dd0513fe,tool,Fgdump,S0120
tool--4fa49fc0-9162-4bdb-a37e-7aa3dcb6d38b,tool,xCmd,S0123
tool--5256c0f8-9108-4c92-8b09-482dfacdcd94,tool,CSPY Downloader,S0527
tool--59096109-a1dd-463b-87e7-a8d110fe3a79,tool,Rclone,S1040
tool--5a33468d-844d-4b1f-98c9-0e786c556b27,tool,MimiPenguin,S0179
tool--5a63f900-5e7e-4928-a746-dd4558e1df71,tool,netsh,S0108
tool--5fc81b43-62b5-41b1-9113-c79ae5f030c4,tool,CARROTBALL,S0465
tool--64764dc6-a032-495f-8250-1e4c06bdc163,tool,BITSAdmin,S0190
tool--65370d0b-3bd4-4653-8cf9-daf56f6be830,tool,meek,S0175
tool--6a5947f3-1a36-4653-8734-526df3e1d28d,tool,AsyncRAT,S1087
tool--6dbdc657-d8e0-4f2f-909b-7251b3e72c6d,tool,ROADTools,S0684
tool--75d8b521-6b6a-42ff-8af3-d97e20ce12a5,tool,Brute Ratel C4,S1063
tool--79dd477a-8226-4b3d-ad15-28623675f221,tool,Peirates,S0683
tool--7cd0bc75-055b-4098-a00e-83dc8beaff14,tool,Remcos,S0332
tool--7fcbc4e8-1989-441f-9ac5-e7b6ff5806f1,tool,Systeminfo,S0096
tool--80c815bb-b24a-4b9c-9d73-ff4c075a278d,tool,Out1,S0594
tool--842976c7-f9c8-41b2-8371-41dc64fbe261,tool,ConnectWise,S0591
tool--8f8cd191-902c-4e83-bf20-b57c8c4640e9,tool,Imminent Monitor,S0434
tool--90ac9266-68ce-46f2-b24f-5eb3b2a8ea38,tool,Ruler,S0358
tool--90ec2b22-7061-4469-b539-0989ec4f96c2,tool,Forfiles,S0193
tool--96fd6cc4-a693-4118-83ec-619e5352d07d,tool,Winexe,S0191
tool--975737f1-b10d-476f-8bda-3ec26ea57172,tool,MCMD,S0500
tool--981acc4c-2ede-4b56-be6e-fa1a75f37acf,tool,Nltest,S0359
tool--999c4e6e-b8dc-4b4f-8d6e-1b829f29997e,tool,MailSniper,S0413
tool--9a2640c2-9f43-46fe-b13f-bde881e55555,tool,sqlmap,S0225
tool--9de2308e-7bed-43a3-8e58-f194b3586700,tool,pwdump,S0006
tool--a1dd2dbd-1550-44bf-abcc-1a4c52e97719,tool,Responder,S0174
tool--a52edc76-328d-4596-85e7-d56ef5a9eb69,tool,Pass-The-Hash Toolkit,S0122
tool--a7b5df47-73bb-4d47-b701-869f185633a6,tool,Donut,S0695
tool--afc079f3-c0ea-4096-b75d-3f05338b7f60,tool,Mimikatz,S0002
tool--b07c2c47-fefb-4d7c-a69e-6a3296171f54,tool,gsecdump,S0008
tool--b1595ddd-a783-482a-90e1-8afc8d48467e,tool,IronNetInjector,S0581
tool--b35068ec-107a-4266-bda8-eb7036267aea,tool,nbtstat,S0102
