source_object_id,source_object_external_id,source_object_name,source_object_type,relationship,target_object_id,target_object_external_id,target_object_name,target_object_type
course-of-action--0d8de0b8-e9fd-44b2-8f1f-f8aae79949be,,coa-1-0,course-of-action,mitigates,attack-pattern--92cdcd3d-d734-4442-afc3-4599f261498b,CAPEC-1,Accessing Functionality Not Properly Constrained by ACLs,attack-pattern
course-of-action--0dfd5de3-6691-47d2-abfd-21299e9f040b,,coa-10-0,course-of-action,mitigates,attack-pattern--4a29d66d-8617-4382-b456-578ecdb1609e,CAPEC-10,Buffer Overflow via Environment Variables,attack-pattern
course-of-action--76f448da-5586-4aae-b516-46ff7c52ba87,,coa-10-1,course-of-action,mitigates,attack-pattern--4a29d66d-8617-4382-b456-578ecdb1609e,CAPEC-10,Buffer Overflow via Environment Variables,attack-pattern
course-of-action--950e1236-9a75-40d0-a5f7-1c1777109da5,,coa-10-2,course-of-action,mitigates,attack-pattern--4a29d66d-8617-4382-b456-578ecdb1609e,CAPEC-10,Buffer Overflow via Environment Variables,attack-pattern
course-of-action--9a8c3aec-f2ce-4b6e-b416-33f58933ac90,,coa-10-3,course-of-action,mitigates,attack-pattern--4a29d66d-8617-4382-b456-578ecdb1609e,CAPEC-10,Buffer Overflow via Environment Variables,attack-pattern
course-of-action--a253c485-f225-4dd3-b0ba-dbe4b29fa134,,coa-100-0,course-of-action,mitigates,attack-pattern--77e51461-7843-411c-a90e-852498957f76,CAPEC-100,Overflow Buffers,attack-pattern
course-of-action--a253c485-f225-4dd3-b0ba-dbe4b29fa134,,coa-100-0,course-of-action,mitigates,attack-pattern--c4a0c765-e4ca-43c2-996e-08ce13ae8f80,CAPEC-14,Client-side Injection-induced Buffer Overflow,attack-pattern
course-of-action--a253c485-f225-4dd3-b0ba-dbe4b29fa134,,coa-100-0,course-of-action,mitigates,attack-pattern--5d5ff43b-cbe7-4986-bfec-cf979f97e6b9,CAPEC-45,Buffer Overflow via Symbolic Links,attack-pattern
course-of-action--a253c485-f225-4dd3-b0ba-dbe4b29fa134,,coa-100-0,course-of-action,mitigates,attack-pattern--8e403d18-af4e-4abd-bd38-0f99f74b4636,CAPEC-46,Overflow Variables and Tags,attack-pattern
course-of-action--a253c485-f225-4dd3-b0ba-dbe4b29fa134,,coa-100-0,course-of-action,mitigates,attack-pattern--e62000f0-addd-4156-b9fd-469bbb211d45,CAPEC-8,Buffer Overflow in an API Call,attack-pattern
course-of-action--a253c485-f225-4dd3-b0ba-dbe4b29fa134,,coa-100-0,course-of-action,mitigates,attack-pattern--b6a2983b-1d97-4698-b210-961ed0523f33,CAPEC-9,Buffer Overflow in Local Command-Line Utilities,attack-pattern
course-of-action--a253c485-f225-4dd3-b0ba-dbe4b29fa134,,coa-100-0,course-of-action,mitigates,attack-pattern--369d69a3-fb4a-49ac-8999-9b4ecfbf74c6,CAPEC-92,Forced Integer Overflow,attack-pattern
course-of-action--5549f741-7e5e-4f04-86bd-90dceb9c0de9,,coa-100-1,course-of-action,mitigates,attack-pattern--77e51461-7843-411c-a90e-852498957f76,CAPEC-100,Overflow Buffers,attack-pattern
course-of-action--5549f741-7e5e-4f04-86bd-90dceb9c0de9,,coa-100-1,course-of-action,mitigates,attack-pattern--e62000f0-addd-4156-b9fd-469bbb211d45,CAPEC-8,Buffer Overflow in an API Call,attack-pattern
course-of-action--07b3e24d-8000-4c35-881d-2eaae3f2411e,,coa-100-2,course-of-action,mitigates,attack-pattern--77e51461-7843-411c-a90e-852498957f76,CAPEC-100,Overflow Buffers,attack-pattern
course-of-action--07b3e24d-8000-4c35-881d-2eaae3f2411e,,coa-100-2,course-of-action,mitigates,attack-pattern--e62000f0-addd-4156-b9fd-469bbb211d45,CAPEC-8,Buffer Overflow in an API Call,attack-pattern
course-of-action--115171ef-9f32-43b6-bb8a-49f0a78286e9,,coa-100-3,course-of-action,mitigates,attack-pattern--77e51461-7843-411c-a90e-852498957f76,CAPEC-100,Overflow Buffers,attack-pattern
course-of-action--115171ef-9f32-43b6-bb8a-49f0a78286e9,,coa-100-3,course-of-action,mitigates,attack-pattern--c4a0c765-e4ca-43c2-996e-08ce13ae8f80,CAPEC-14,Client-side Injection-induced Buffer Overflow,attack-pattern
course-of-action--115171ef-9f32-43b6-bb8a-49f0a78286e9,,coa-100-3,course-of-action,mitigates,attack-pattern--5d5ff43b-cbe7-4986-bfec-cf979f97e6b9,CAPEC-45,Buffer Overflow via Symbolic Links,attack-pattern
course-of-action--115171ef-9f32-43b6-bb8a-49f0a78286e9,,coa-100-3,course-of-action,mitigates,attack-pattern--8e403d18-af4e-4abd-bd38-0f99f74b4636,CAPEC-46,Overflow Variables and Tags,attack-pattern
course-of-action--115171ef-9f32-43b6-bb8a-49f0a78286e9,,coa-100-3,course-of-action,mitigates,attack-pattern--e62000f0-addd-4156-b9fd-469bbb211d45,CAPEC-8,Buffer Overflow in an API Call,attack-pattern
course-of-action--115171ef-9f32-43b6-bb8a-49f0a78286e9,,coa-100-3,course-of-action,mitigates,attack-pattern--b6a2983b-1d97-4698-b210-961ed0523f33,CAPEC-9,Buffer Overflow in Local Command-Line Utilities,attack-pattern
course-of-action--b8955156-d3d6-4db5-bc3b-595bda29964b,,coa-100-4,course-of-action,mitigates,attack-pattern--77e51461-7843-411c-a90e-852498957f76,CAPEC-100,Overflow Buffers,attack-pattern
course-of-action--b8955156-d3d6-4db5-bc3b-595bda29964b,,coa-100-4,course-of-action,mitigates,attack-pattern--c4a0c765-e4ca-43c2-996e-08ce13ae8f80,CAPEC-14,Client-side Injection-induced Buffer Overflow,attack-pattern
course-of-action--b8955156-d3d6-4db5-bc3b-595bda29964b,,coa-100-4,course-of-action,mitigates,attack-pattern--5d5ff43b-cbe7-4986-bfec-cf979f97e6b9,CAPEC-45,Buffer Overflow via Symbolic Links,attack-pattern
course-of-action--b8955156-d3d6-4db5-bc3b-595bda29964b,,coa-100-4,course-of-action,mitigates,attack-pattern--8e403d18-af4e-4abd-bd38-0f99f74b4636,CAPEC-46,Overflow Variables and Tags,attack-pattern
course-of-action--b8955156-d3d6-4db5-bc3b-595bda29964b,,coa-100-4,course-of-action,mitigates,attack-pattern--e62000f0-addd-4156-b9fd-469bbb211d45,CAPEC-8,Buffer Overflow in an API Call,attack-pattern
course-of-action--61ed4ed4-15a0-4d2a-b38c-482bf5e682a5,,coa-100-5,course-of-action,mitigates,attack-pattern--77e51461-7843-411c-a90e-852498957f76,CAPEC-100,Overflow Buffers,attack-pattern
course-of-action--64214f54-8438-43c3-8052-8927af7d98bc,,coa-101-0,course-of-action,mitigates,attack-pattern--4e7abad3-5853-4e4b-a64e-7f23f10f8656,CAPEC-101,Server Side Include (SSI) Injection,attack-pattern
course-of-action--8dc4376f-e920-42a2-9578-575c37c7c146,,coa-101-1,course-of-action,mitigates,attack-pattern--4e7abad3-5853-4e4b-a64e-7f23f10f8656,CAPEC-101,Server Side Include (SSI) Injection,attack-pattern
course-of-action--c52aed3b-1355-42cd-a2a4-3c570d0f5c35,,coa-101-2,course-of-action,mitigates,attack-pattern--4e7abad3-5853-4e4b-a64e-7f23f10f8656,CAPEC-101,Server Side Include (SSI) Injection,attack-pattern
course-of-action--0002fa37-9334-41e2-971a-cc8cab6c00c4,,coa-102-0,course-of-action,mitigates,attack-pattern--6a99b39b-b14a-4617-8aeb-bce85979f520,CAPEC-102,Session Sidejacking,attack-pattern
course-of-action--c2fe43b4-eb82-4bf6-b874-c2d9018c94fe,,coa-102-1,course-of-action,mitigates,attack-pattern--6a99b39b-b14a-4617-8aeb-bce85979f520,CAPEC-102,Session Sidejacking,attack-pattern
course-of-action--80867248-4826-45e5-84e9-99e4d1bc07c4,,coa-103-0,course-of-action,mitigates,attack-pattern--ec41b2b3-a3b6-4af0-be65-69e82907dfef,CAPEC-103,Clickjacking,attack-pattern
course-of-action--a7b45eac-7a77-4462-81b6-3ae5d81528e1,,coa-103-1,course-of-action,mitigates,attack-pattern--ec41b2b3-a3b6-4af0-be65-69e82907dfef,CAPEC-103,Clickjacking,attack-pattern
