source_object_id,source_object_external_id,source_object_name,source_object_type,relationship,target_object_id,target_object_external_id,target_object_name,target_object_type
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,malware-method--a6dfd5c7-a18f-4b59-aa65-fa6f6772bbe7,C0029.005,Tiger,malware-method
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,attack-pattern--65917ae0-b854-4139-83fe-bf2441cf0196,,,attack-pattern
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896,,,attack-pattern
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,malware-behavior--0d7ae86c-ab0b-44ff-a160-525ed224f6c9,E1083,File and Directory Discovery,malware-behavior
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,malware-method--81e76726-99f8-4cfc-834c-64459602c114,C0034.001,Set Variable,malware-method
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,,,attack-pattern
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,malware-behavior--7cc1a672-d56d-4b3d-915f-e3845b24ef97,C0052,Writes File,malware-behavior
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,malware-method--a4fa2258-b4ad-4701-9728-5507d7c2cc52,C0032.002,Luhn,malware-method
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,malware-method--0c2bbe11-f83b-4b11-bbcd-7e83efdb4759,B0030.016,Start Interactive Shell,malware-method
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,malware-behavior--bf5c92a2-c1f9-489f-89e7-936d753be249,C0017,Create Process,malware-behavior
malware--7a9aa9af-a386-4d3d-8140-5495063788ee,X0033,UP007,malware,uses,malware-method--59c224f1-595f-432a-b0fe-5ad9a33489d2,C0036.001,Set Registry Value,malware-method
